id;nome;descricao;created_at;updated_at;deleted_at
1;till about oh;../fake-data/blob/hipster.txt;2024-05-29T09:56:31;2024-05-29T00:40:18;2024-05-28T18:26:57
2;amidst including fume;../fake-data/blob/hipster.txt;2024-05-29T04:28:34;2024-05-28T21:22:24;2024-05-28T14:26:17
3;formal duh;../fake-data/blob/hipster.txt;2024-05-29T01:15:03;2024-05-29T02:11:47;2024-05-28T20:25:55
4;times haze;../fake-data/blob/hipster.txt;2024-05-29T12:26:37;2024-05-28T16:51:18;2024-05-29T05:27:29
5;for what euphoric;../fake-data/blob/hipster.txt;2024-05-28T21:45:14;2024-05-29T13:38:20;2024-05-28T23:51:16
6;qua;../fake-data/blob/hipster.txt;2024-05-29T08:47:27;2024-05-28T22:56:01;2024-05-29T09:59:18
7;provided ick droop;../fake-data/blob/hipster.txt;2024-05-29T08:35:33;2024-05-28T15:26:59;2024-05-29T01:22:53
8;honestly gosh snore;../fake-data/blob/hipster.txt;2024-05-29T11:23:28;2024-05-29T11:42:30;2024-05-29T09:44:01
9;shimmering oh admirable;../fake-data/blob/hipster.txt;2024-05-29T08:32:20;2024-05-28T21:25:05;2024-05-29T06:25:17
10;institution gaseous glistening;../fake-data/blob/hipster.txt;2024-05-28T16:52:27;2024-05-29T13:16:12;2024-05-29T03:28:04
