id;numero;data;data_inicio;data_fim;ano;justificativa_exclusao;created_at;updated_at;deleted_at
1;8239;2024-05-29;2024-05-28;2024-05-28;10944;geez;2024-05-28T22:40:12;2024-05-28T21:41:48;2024-05-28T19:42:02
2;1892;2024-05-29;2024-05-29;2024-05-28;27656;clever jaggedly;2024-05-28T20:45:05;2024-05-28T18:29:41;2024-05-28T15:09:24
3;14066;2024-05-29;2024-05-29;2024-05-29;25538;deceivingly whenever;2024-05-29T02:44:05;2024-05-28T22:06:48;2024-05-28T16:06:39
4;31724;2024-05-28;2024-05-28;2024-05-28;1193;against gee;2024-05-29T13:32:23;2024-05-29T04:07:40;2024-05-29T13:51:33
5;15758;2024-05-29;2024-05-28;2024-05-29;7924;hastily;2024-05-29T09:41:54;2024-05-29T06:38:15;2024-05-29T10:37:25
6;3886;2024-05-29;2024-05-28;2024-05-29;26097;apprehend perfectly;2024-05-29T11:04:58;2024-05-28T19:27:33;2024-05-29T05:32:09
7;9676;2024-05-28;2024-05-29;2024-05-29;21593;which;2024-05-29T03:19:34;2024-05-29T04:46:36;2024-05-28T15:26:41
8;21723;2024-05-28;2024-05-29;2024-05-29;7793;atop gladiolus fooey;2024-05-29T13:45:33;2024-05-29T02:54:05;2024-05-28T19:57:18
9;17624;2024-05-29;2024-05-29;2024-05-29;14224;furiously bah why;2024-05-29T05:22:34;2024-05-29T11:15:47;2024-05-28T16:11:40
10;5473;2024-05-29;2024-05-29;2024-05-28;14731;afoul;2024-05-29T06:52:16;2024-05-29T11:52:56;2024-05-29T02:22:35
