id;nome;sigla;created_at;updated_at;deleted_at
1;consequently;necessary;2024-05-28T18:06:28;2024-05-29T07:22:45;2024-05-28T20:35:18
2;reluctantly mmm burden;wrench which;2024-05-28T19:35:32;2024-05-28T19:27:40;2024-05-29T07:30:27
3;crust who so;ugh slowly used;2024-05-29T13:00:07;2024-05-28T22:39:38;2024-05-28T15:14:11
4;valuable tense a;inasmuch;2024-05-28T15:27:07;2024-05-29T03:17:35;2024-05-29T11:11:00
5;triangle;grandiose;2024-05-28T17:57:54;2024-05-29T11:24:02;2024-05-29T10:38:00
6;superior;indeed wetly;2024-05-29T08:16:43;2024-05-29T10:45:00;2024-05-29T04:06:54
7;determined psychiatrist;jovially ack;2024-05-29T13:21:36;2024-05-28T16:26:52;2024-05-29T08:45:56
8;gee towards;unique yowza whoa;2024-05-28T21:23:43;2024-05-28T23:13:33;2024-05-28T16:40:37
9;than whoa;extra-large yieldingly;2024-05-28T17:18:42;2024-05-29T03:44:44;2024-05-28T21:24:02
10;key medicate;nightingale honestly huzzah;2024-05-29T06:16:40;2024-05-28T21:28:17;2024-05-29T04:22:47
